Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,199.56,335.12,38.99,56.29,61.65,18.28,9.33,1.6,17.08,2.31,8.15,,,,,11.83,75.3,0.41,60.27,,0.0,127.21,741.94,
2024-01-02,195.91,320.67,46.46,62.58,71.07,19.42,22.19,1.77,17.98,2.2,9.02,,,,,11.54,72.11,0.54,54.18,,0.0,135.27,741.98,
2024-01-03,247.44,360.37,69.63,71.08,94.41,25.29,16.65,2.18,15.52,3.43,12.03,,,,,10.76,84.56,0.51,38.12,,0.0,119.43,742.0,
2024-01-04,274.06,436.22,91.01,71.07,111.79,34.86,10.11,1.86,14.38,3.17,18.21,,,,,11.54,81.26,0.32,96.44,,0.0,111.25,741.96,
2024-01-05,218.28,345.98,66.03,59.13,85.1,42.52,11.37,2.2,15.25,2.75,14.08,,,,,12.01,84.88,0.32,51.01,,0.0,79.26,742.0,
2024-01-06,223.3,375.88,69.6,68.65,93.07,34.62,18.98,3.57,14.94,2.62,11.18,,,,,11.72,78.78,0.39,44.39,,0.0,122.34,741.9,
2024-01-07,214.33,357.84,64.99,75.71,93.11,29.71,10.04,3.55,17.23,2.26,10.62,,,,,12.2,74.78,0.39,61.26,,0.0,137.88,741.89,
2024-01-08,331.12,531.56,81.0,82.32,109.17,28.6,15.83,4.11,15.23,3.46,17.74,,,,,11.53,80.92,0.38,37.85,,0.0,130.92,741.19,
2024-01-09,184.92,304.13,58.07,57.75,77.92,41.18,10.64,3.86,15.32,2.27,11.88,,,,,11.62,80.98,0.44,91.49,,0.0,115.4,741.0,
2024-01-10,177.28,301.01,63.68,58.19,82.73,35.52,12.57,4.56,16.99,1.95,8.31,,,,,11.04,77.8,0.52,122.65,,0.0,132.2,741.0,
2024-01-11,229.72,375.51,64.65,76.26,93.13,34.08,17.9,3.96,19.54,2.69,12.86,,,,,11.73,74.56,0.36,99.18,,0.0,140.09,741.0,
2024-01-12,253.56,394.33,64.67,88.45,99.15,38.51,8.7,3.63,18.49,3.31,16.46,,,,,11.57,76.69,0.33,73.73,,0.0,133.1,741.0,
2024-01-13,420.17,609.42,121.99,115.6,157.44,43.65,23.05,4.2,25.52,4.82,33.16,,,,,10.98,81.94,0.41,38.68,,0.0,135.7,741.0,
2024-01-14,363.57,574.43,96.19,100.96,136.99,41.99,21.51,4.9,28.18,5.78,27.11,,,,,11.29,79.74,0.35,75.71,,0.0,129.65,740.92,
2024-01-15,238.57,405.96,95.11,107.29,134.89,37.59,23.87,5.13,23.28,3.9,20.28,,,,,11.82,74.47,0.34,57.03,,0.0,139.19,740.68,
2024-01-16,295.29,409.95,49.65,80.14,83.0,51.07,2.95,4.1,19.36,3.69,24.6,,,,,10.77,83.56,0.85,40.86,,0.0,129.59,740.76,
2024-01-17,226.16,338.07,29.39,71.08,61.7,36.43,4.47,0.79,17.01,2.47,16.9,,,,,11.46,75.55,0.6,46.65,,0.0,140.98,740.54,
2024-01-18,199.32,308.96,36.31,69.16,66.3,39.31,28.82,0.47,16.07,2.52,16.44,,,,,11.51,79.75,0.51,52.54,,0.0,133.55,740.17,
2024-01-19,207.95,313.08,26.8,61.53,54.51,36.6,10.61,0.42,15.26,2.71,15.72,,,,,10.91,82.33,0.68,50.94,,0.0,130.27,740.21,
2024-01-20,198.91,333.6,51.36,77.04,82.73,28.69,15.88,1.33,17.26,2.65,14.88,,,,,11.88,73.62,0.48,59.24,,0.0,136.67,739.55,
2024-01-21,212.08,331.76,69.68,78.84,98.59,34.29,6.48,1.49,15.32,3.31,13.62,,,,,11.2,80.98,0.39,100.59,,0.0,132.12,738.91,
2024-01-22,238.8,373.23,21.74,61.97,50.64,24.47,12.81,1.22,15.6,2.04,8.38,,,,,11.25,75.73,0.64,44.28,,0.0,142.06,740.09,
2024-01-23,256.98,418.2,32.88,79.67,69.11,31.69,15.0,1.26,14.47,2.65,9.99,,,,,11.42,79.69,0.7,50.58,,0.0,128.89,741.78,
2024-01-24,286.24,467.91,63.26,86.38,97.34,34.79,14.36,1.27,14.34,3.69,15.85,,,,,11.59,77.56,0.35,51.75,,0.0,129.86,741.43,
2024-01-25,263.9,456.6,93.11,103.03,130.51,33.84,16.37,1.42,14.68,3.66,21.07,,,,,11.34,78.48,0.43,59.4,,0.0,136.32,741.3,
2024-01-26,383.65,580.15,156.79,128.73,191.95,48.81,9.04,2.17,16.92,4.76,25.56,,,,,12.39,75.29,0.34,40.31,,0.0,140.62,741.51,
2024-01-27,201.47,397.72,181.39,132.42,211.81,45.19,25.11,1.55,15.12,3.46,17.0,,,,,13.46,65.54,0.54,87.28,,0.0,142.33,741.52,
2024-01-28,312.73,529.27,139.46,141.01,166.0,62.31,13.3,,21.61,4.65,32.95,,,,,12.08,77.97,0.85,55.43,,0.0,137.93,741.41,
2024-01-29,234.3,404.18,49.77,84.95,85.64,41.96,12.14,1.16,16.09,2.85,18.19,,,,,13.09,75.86,0.44,52.17,,0.0,142.16,741.36,
2024-01-30,289.84,464.52,84.3,93.01,118.0,53.28,29.63,0.67,15.35,4.42,27.23,,,,,12.79,83.39,0.34,57.41,,0.0,123.42,740.8,
2024-01-31,265.73,349.77,85.39,96.5,120.75,53.45,15.3,0.77,33.48,3.56,34.45,,,,,12.78,88.03,0.58,42.55,,0.0,109.24,740.97,
2024-02-01,66.89,99.25,17.8,59.72,46.05,36.86,15.6,1.54,15.71,1.07,6.86,,,,,13.79,84.65,1.44,44.77,,0.0,134.93,741.07,
2024-02-02,103.95,200.05,78.89,75.73,104.39,28.66,14.48,2.37,15.25,1.98,12.32,,,,,13.03,81.19,0.61,91.99,,0.0,153.83,742.0,
2024-02-03,119.99,372.35,106.66,111.81,146.17,32.59,14.45,2.86,15.8,3.38,19.72,,,,,14.08,62.94,0.38,105.0,,0.0,147.33,741.33,
2024-02-04,140.93,239.51,63.18,82.32,95.16,62.79,7.73,2.42,22.52,3.68,29.32,,,,,14.59,79.75,0.79,38.81,,0.0,131.74,737.56,
2024-02-05,85.43,194.62,52.71,66.78,78.32,28.51,13.31,2.21,19.16,1.65,10.67,,,,,15.02,78.17,0.41,99.81,,0.0,148.2,739.33,
2024-02-06,81.64,258.3,74.26,77.25,101.47,20.33,17.94,1.84,18.85,1.59,10.87,,,,,14.03,68.49,0.49,101.59,,0.0,113.8,741.43,
2024-02-07,78.76,243.27,42.46,70.93,72.26,20.04,17.99,1.33,18.59,1.27,7.65,,,,,15.27,58.48,0.81,121.78,,0.0,113.78,741.46,
2024-02-08,71.46,197.66,39.98,66.12,67.64,19.69,24.25,1.28,18.27,1.12,5.28,,,,,16.11,58.95,1.06,124.39,,0.0,116.76,742.0,
2024-02-09,92.89,300.43,100.2,114.31,129.59,21.76,30.91,1.82,18.41,2.03,12.58,,,,,17.23,56.29,0.37,121.62,,0.0,116.02,742.0,
2024-02-10,218.86,445.73,105.07,115.17,145.87,40.3,10.29,1.35,29.17,3.05,23.7,,,,,16.91,65.81,0.33,61.02,,0.0,115.69,742.0,
