Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,169.57,305.14,28.77,29.65,38.54,62.22,52.05,0.77,33.9,3.38,4.55,2.19,,2.91,2.06,,78.67,1.22,133.79,,0.0,33.45,,-0.22
2024-01-02,148.21,288.49,29.95,27.63,38.4,59.98,29.71,0.78,32.73,3.43,4.56,2.2,,2.91,2.06,,73.04,1.13,131.23,,0.0,42.14,,-0.22
2024-01-03,142.83,266.59,31.23,29.64,40.49,56.22,25.18,1.14,32.7,3.38,4.53,2.19,,2.86,2.04,,91.74,1.05,152.68,,0.0,24.69,,-0.25
2024-01-04,183.1,343.5,37.54,33.01,47.3,56.74,21.95,0.88,36.09,3.41,4.55,2.2,,2.92,2.05,,88.92,1.13,86.84,,0.0,21.57,,-0.26
2024-01-05,143.22,254.06,36.58,33.53,46.82,40.75,31.97,0.55,28.09,4.49,5.94,3.37,,4.53,3.29,,94.04,1.02,109.93,,0.0,12.37,,-0.26
2024-01-06,113.37,214.09,40.87,33.29,50.13,32.93,13.19,1.32,28.03,4.74,6.54,3.53,,4.54,3.11,,83.44,1.18,130.03,,0.0,28.29,,-0.21
2024-01-07,91.67,216.7,40.15,33.22,49.52,33.58,9.44,1.24,33.9,4.86,6.62,3.51,,4.51,3.16,,76.69,1.06,174.66,,0.0,45.88,,-0.18
2024-01-08,121.75,305.04,46.33,33.04,54.36,28.75,15.4,1.35,22.29,4.75,6.49,3.45,,4.48,3.08,,86.69,0.96,134.09,,0.0,29.89,,-0.21
2024-01-09,74.72,174.13,49.82,29.34,55.13,23.88,15.23,0.76,9.81,5.11,6.85,3.72,,4.55,3.37,,87.47,1.33,97.04,,0.0,29.35,,-0.07
2024-01-10,81.62,166.99,62.08,22.15,61.2,12.38,12.34,1.01,18.75,4.83,6.52,3.52,,4.59,3.15,,82.37,1.49,82.31,,0.0,37.12,,-0.02
2024-01-11,110.65,238.0,56.83,19.71,55.76,16.44,12.82,0.88,26.31,4.81,6.5,3.56,,4.52,3.18,,78.45,1.26,90.19,,0.0,52.4,,0.01
2024-01-12,107.03,234.7,63.1,22.04,61.96,12.96,9.34,1.11,22.43,4.83,6.63,3.53,,4.49,3.15,,79.78,1.07,112.27,,0.0,49.27,,0.01
2024-01-13,144.22,345.82,83.27,18.3,76.13,10.76,6.5,2.02,15.95,4.83,6.5,3.48,,4.57,3.16,,89.25,0.78,190.75,,0.0,39.47,,-0.02
2024-01-14,176.96,365.38,88.4,20.29,81.29,15.84,6.92,2.42,16.25,4.77,6.38,3.45,,4.48,3.09,,85.27,1.0,123.47,,0.0,42.95,,-0.02
2024-01-15,160.01,225.77,69.71,23.03,67.81,21.89,17.5,1.52,16.98,4.84,6.57,3.54,,4.57,3.18,,79.29,1.0,120.51,,0.0,60.94,,0.01
2024-01-16,174.0,266.04,79.77,20.67,74.61,15.86,10.05,1.64,15.5,2.48,3.77,1.42,,1.7,1.09,,88.66,1.12,234.2,,0.0,47.18,,-0.03
2024-01-17,161.23,234.55,78.37,13.35,69.5,20.88,24.0,2.04,17.35,1.29,2.44,0.47,,1.0,0.64,,82.45,1.16,266.82,,0.0,45.05,,-0.05
2024-01-18,127.04,217.18,79.97,16.99,72.69,18.12,19.9,1.55,14.27,1.35,2.46,0.51,,1.04,0.68,,83.61,1.02,259.43,,0.0,48.81,,-0.01
2024-01-19,110.89,238.62,74.41,20.0,69.84,17.68,17.14,1.3,12.21,1.46,2.44,0.62,,1.0,0.92,,86.84,1.22,258.81,,0.0,34.84,,-0.0
2024-01-20,110.64,202.39,66.45,23.61,65.45,20.6,23.2,1.21,23.61,1.85,2.43,0.98,,0.98,1.61,,76.88,0.86,225.32,,0.0,45.01,,0.01
2024-01-21,108.93,204.88,75.97,16.42,69.15,17.43,16.17,1.56,15.53,1.83,2.42,0.97,,0.96,1.58,,87.38,1.31,89.21,,0.0,40.96,,-0.05
2024-01-22,131.69,244.29,52.17,29.45,57.13,25.66,21.26,1.1,18.84,1.89,2.46,1.03,,1.01,1.62,,79.2,1.11,231.66,,0.0,51.14,,0.07
2024-01-23,135.45,266.44,55.72,30.69,60.63,22.76,17.74,1.28,22.36,3.87,4.2,1.27,,1.38,2.24,,84.66,1.29,217.75,,0.0,45.29,,0.03
2024-01-24,135.83,285.18,57.36,31.14,62.18,21.48,22.65,1.83,21.7,6.45,7.2,1.61,,2.04,2.71,,81.58,1.11,119.66,,0.0,43.41,,0.03
2024-01-25,133.34,276.35,66.5,25.61,66.59,19.45,19.75,1.64,22.27,8.95,14.69,2.43,,2.57,4.74,,84.67,1.02,134.39,,0.0,47.71,,0.05
2024-01-26,169.72,351.4,77.92,32.39,79.29,14.31,13.65,1.84,24.25,11.89,17.12,3.47,,3.26,6.64,,78.19,0.79,182.68,,0.0,51.53,,0.05
2024-01-27,110.78,210.4,65.72,27.59,67.02,20.54,16.61,1.22,14.42,11.12,13.02,3.05,,2.64,6.15,,67.6,1.03,133.2,,0.0,77.56,,0.05
2024-01-28,138.97,286.5,73.94,24.67,72.03,54.53,19.19,1.33,19.17,6.18,10.17,2.92,,2.88,5.89,,81.77,1.23,225.27,,0.0,56.15,,0.04
2024-01-29,129.8,263.32,62.14,25.93,63.29,56.91,21.49,1.4,17.25,5.11,13.01,2.16,,2.21,4.03,,78.51,1.13,220.84,,0.0,56.23,,0.04
2024-01-30,130.33,251.36,81.81,19.27,75.46,42.11,9.34,1.33,12.01,7.01,20.63,2.41,,2.62,4.52,,91.04,0.97,114.45,,0.0,37.91,,-0.02
2024-01-31,123.16,244.84,106.11,16.01,93.05,29.36,13.19,1.3,10.29,6.88,15.67,2.51,,2.65,4.52,,94.01,1.02,203.57,,0.0,30.31,,-0.06
2024-02-01,22.72,55.83,62.56,21.86,61.48,56.63,22.21,0.7,15.38,1.87,3.7,1.37,,1.25,1.95,,89.97,1.79,253.9,,0.0,35.68,,-0.05
2024-02-02,52.82,140.89,73.47,19.64,68.97,47.28,16.34,0.86,14.65,3.63,6.53,1.69,,1.65,2.92,,86.37,1.15,96.01,,0.0,78.9,,0.07
2024-02-03,58.96,140.07,72.25,19.37,67.94,50.84,16.35,1.07,12.13,6.05,17.33,3.52,,3.49,6.8,,60.56,0.99,117.19,,0.0,62.83,,0.03
2024-02-04,59.59,143.36,89.66,11.6,77.53,42.61,13.53,1.26,9.29,5.56,15.39,3.14,,2.98,5.84,,86.76,1.2,236.15,,0.0,38.23,,-0.04
2024-02-05,42.73,98.91,70.42,10.68,61.3,56.12,14.72,1.56,10.89,2.02,4.57,1.19,,1.08,1.79,,83.53,1.44,137.07,,0.0,64.27,,0.02
2024-02-06,44.12,104.09,53.63,19.06,52.88,65.11,14.93,0.91,9.07,2.39,5.26,1.24,,1.24,2.17,,65.37,1.37,90.81,,0.0,89.52,,0.1
2024-02-07,64.17,128.1,55.14,14.52,51.71,66.96,8.81,0.67,12.25,2.2,4.08,1.17,,1.16,1.94,,50.05,1.71,84.38,,0.0,88.27,,0.1
2024-02-08,55.29,109.2,59.07,11.96,53.5,64.54,9.9,0.87,6.04,2.2,2.02,0.88,,0.87,1.38,,67.12,1.64,58.21,,0.0,48.87,,0.02
2024-02-09,48.46,105.64,50.71,15.44,48.65,67.94,10.9,0.94,21.05,3.65,10.24,2.34,,1.85,3.96,,44.63,1.12,150.06,,0.0,117.48,,0.15
2024-02-10,93.59,213.55,67.77,14.98,61.36,55.55,6.54,1.24,24.56,5.3,13.25,2.29,,2.14,4.16,,67.1,0.87,156.91,,0.0,76.85,,0.1
2024-02-11,75.41,191.12,60.87,16.73,57.55,59.56,2.8,1.07,23.26,3.4,6.79,1.45,,1.57,2.58,,60.84,0.97,109.82,,0.0,83.57,,0.12
2024-02-12,89.31,182.72,63.59,17.36,59.81,57.73,3.79,0.95,20.66,3.54,6.44,1.6,,1.57,2.82,,70.92,0.79,141.17,,0.0,65.13,,0.07
2024-02-13,113.02,253.51,70.38,19.26,66.3,51.83,24.34,1.6,19.93,5.72,12.27,2.95,,2.61,5.1,,72.93,0.68,176.43,,0.0,56.26,,0.05
2024-02-14,107.91,211.1,70.28,14.79,63.74,55.2,14.87,0.98,21.73,5.12,13.88,2.43,,2.31,4.37,,66.36,0.89,94.31,,0.0,79.43,,0.06
2024-02-15,91.64,166.03,61.94,12.55,56.1,61.27,14.15,1.22,28.68,4.22,10.18,1.77,,1.67,3.18,,58.06,1.12,94.69,,0.0,84.49,,0.07
2024-02-16,80.54,149.47,58.48,15.23,54.71,64.5,15.26,0.76,22.68,3.2,9.44,1.63,,1.64,2.92,,52.63,1.18,126.36,,0.0,93.64,,0.1
