Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,195.54,336.04,6.22,20.72,26.94,33.43,3.94,0.95,2.4,1.13,3.99,,,,,12.24,74.14,0.34,280.01,0.0,0.0,46.01,982.55,
2024-01-02,185.09,313.51,7.71,22.07,29.78,30.27,4.32,0.76,2.97,1.0,3.52,,,,,11.97,71.35,0.29,271.02,0.0,0.0,67.5,982.1,
2024-01-03,187.98,344.21,20.97,24.17,45.14,32.82,3.89,1.64,2.04,1.72,6.42,,,,,11.15,83.96,0.37,302.53,0.0,0.0,29.64,982.28,
2024-01-04,242.01,407.1,21.95,34.69,45.37,32.0,6.67,1.38,2.02,3.27,29.29,,,,,11.97,80.12,0.34,232.15,0.0,0.0,24.2,982.14,
2024-01-05,212.94,329.32,15.54,48.07,38.2,37.35,9.88,1.37,4.58,4.39,30.92,,,,,12.49,83.71,0.35,270.94,0.0,0.0,13.42,982.04,
2024-01-06,226.88,339.74,9.78,55.21,37.32,35.33,7.53,1.25,3.88,4.8,24.39,,,,,12.18,77.08,0.37,289.74,0.0,0.0,31.08,981.8,
2024-01-07,217.18,331.19,9.42,51.9,35.18,31.16,5.84,1.16,6.4,4.0,29.09,,,,,12.66,73.51,0.35,253.89,0.0,0.0,53.77,981.81,
2024-01-08,298.02,489.54,19.55,58.98,47.27,29.59,6.11,1.69,4.46,5.24,32.01,,,,,11.89,80.01,0.34,294.79,0.0,0.0,35.55,981.9,
2024-01-09,160.05,253.55,7.86,42.86,29.19,31.82,5.84,0.86,3.75,3.85,30.61,,,,,12.05,79.51,0.46,266.35,0.0,0.0,31.38,981.86,
2024-01-10,175.47,281.61,8.61,45.17,30.8,34.23,5.84,1.03,4.37,2.87,19.81,,,,,11.47,76.46,0.56,238.03,0.0,0.0,50.57,982.07,
2024-01-11,226.67,368.53,6.4,54.7,34.18,38.94,5.96,1.33,5.71,4.08,28.34,,,,,12.12,73.57,0.4,256.21,0.0,0.0,66.4,981.99,
2024-01-12,243.93,372.19,16.27,65.07,47.84,39.94,6.01,1.56,5.13,0.8,7.2,,,,,12.04,75.15,0.34,262.39,0.0,0.0,65.75,982.01,
2024-01-13,398.93,539.63,77.54,72.06,101.37,36.73,6.23,2.47,5.69,0.0,0.0,,,,,11.09,82.45,0.33,190.14,0.0,0.0,45.03,982.2,
2024-01-14,371.88,510.51,53.97,67.31,79.67,35.38,6.36,2.51,4.04,0.0,0.0,,,,,11.68,80.12,0.32,271.05,0.0,0.0,60.97,982.12,
2024-01-15,225.74,339.94,22.27,64.14,52.03,31.4,6.23,1.7,4.2,0.0,0.0,,,,,12.0,74.47,0.33,267.48,0.0,0.0,75.84,982.03,
2024-01-16,278.57,390.61,25.96,62.97,54.6,34.38,6.06,2.02,4.84,0.0,0.0,,,,,11.29,81.4,0.38,167.93,0.0,0.0,56.26,982.05,
