Index,Price
0,6000
1,13799
2,17500
4,18824
5,6618
6,2538
7,10435
8,10000
9,11150
10,12174
11,11674
12,15995
13,17526
14,11538
15,10000
16,5736
17,6481
18,11250
19,6731
20,8571
21,15000
22,12213
23,10940
25,7241
26,6648
27,9683
28,14344
29,7287
30,17827
31,15196
32,11608
33,11008
34,9643
35,3768
36,9333
38,12369
39,4070
40,4149
41,6364
42,4805
43,11321
45,13750
46,11667
47,4571
48,9750
49,12821
50,8246
51,2495
52,8399
53,5974
54,11905
55,8475
56,3488
57,8750
58,11765
59,5611
60,11481
61,3876
62,15385
63,8000
64,18750
65,10000
66,7338
67,8500
68,17333
72,7059
73,11458
74,4459
75,6709
76,13699
77,15122
78,9750
79,7438
80,11765
81,7812
82,12618
85,13167
86,3226
87,8000
88,8173
89,9231
90,5091
91,11159
92,19608
93,7143
95,8413
96,13866
97,8889
98,12526
99,7986
100,10709
101,7692
102,8571
105,5747
106,9444
108,17806
109,7763
110,5500
111,5893
112,13591
113,12179
114,12605
115,3750
116,8248
117,6429
118,8197
119,4425
120,4403
121,12329
122,8333
123,5151
124,4583
125,9554
126,14706
127,21994
128,3893
129,3698
130,4142
132,12605
133,18044
134,8571
135,11594
136,6691
137,7143
138,16162
139,17017
140,10256
141,17949
142,9913
143,3709
144,10010
145,3371
146,16176
147,22418
148,16667
149,24444
150,4688
151,4643
152,7647
153,12963
154,7143
155,4677
156,8983
157,20690
158,17368
159,15217
160,13982
161,13333
162,4500
163,10400
164,11134
165,11416
166,11239
167,13680
169,3333
170,13078
171,5600
172,8917
173,4611
174,7485
175,11017
176,8300
178,6557
179,13364
180,6838
181,11734
182,15812
183,16579
184,14515
185,18703
186,7054
187,10690
188,4664
189,5443
190,19003
191,5882
192,7505
193,6410
194,14576
195,10563
196,12557
197,15508
198,14444
199,4000
200,11717
202,13111
203,6787
204,8058
205,11942
207,10400
208,14615
209,5254
210,6988
211,12973
212,6408
213,16517
214,22053
215,7545
216,14846
217,19933
218,11364
219,6816
220,4250
221,15308
222,9231
223,14519
225,19075
226,5000
227,7129
228,17827
229,7326
230,14118
231,8182
232,11111
233,17981
234,6049
236,3584
237,11818
238,7886
239,7833
240,9444
241,17968
242,21028
243,16667
244,2930
245,5094
246,9692
247,9333
248,14286
249,5455
251,4393
252,6821
253,21937
254,6923
255,9500
257,3614
258,4478
259,5000
260,8545
261,8947
262,7883
263,16889
264,5625
266,10769
267,4545
268,11423
269,9032
270,10000
271,18868
272,3954
273,16231
274,3252
275,5496
276,12452
277,10638
278,3377
279,6750
280,9692
281,14091
282,7326
283,11429
284,10573
285,10909
286,11159
287,15658
289,3810
290,16111
291,7519
292,11450
293,4667
294,8491
295,11667
296,5736
298,6249
299,8759
300,11259
301,11526
302,6744
303,16296
304,22000
305,11486
306,7071
307,22015
308,3846
309,9600
310,13636
311,14123
312,10187
313,4801
314,11838
315,4215
316,3761
317,8454
319,3650
320,2932
321,6400
322,5983
323,7222
324,7328
325,9358
326,15516
327,14539
328,7969
329,11000
330,18571
331,18808
332,14359
333,28200
334,6678
335,6154
336,9009
337,11111
338,14800
339,7761
340,8837
341,14400
342,9683
343,9538
344,9841
345,11345
347,12250
348,6765
350,7009
351,10553
352,7737
353,12623
354,11957
355,5750
356,7435
357,10909
358,6842
359,34091
360,17526
361,3497
362,6338
363,12107
365,5983
366,18595
367,4861
368,17143
369,5143
370,9478
371,4571
373,7719
374,15446
375,9333
376,13000
377,10588
379,9381
380,11340
382,4769
383,5000
384,7500
385,7092
386,14074
387,13333
388,13833
389,4681
390,8923
391,5472
392,13889
393,20370
394,5932
395,11895
396,10399
398,6667
399,9091
400,5983
401,8727
402,5143
403,11524
404,14902
405,11684
406,10709
407,10316
408,9538
409,7883
410,11905
412,1986
413,9091
414,10976
415,10549
416,10667
417,19231
418,6774
419,12449
420,16162
421,17937
422,5405
423,4177
424,10068
425,4118
426,5507
427,5778
428,6130
429,4490
430,10543
431,12566
432,16774
433,18204
434,18591
435,12973
436,8929
437,5714
438,6049
439,6364
440,6462
441,24165
442,3545
443,5556
444,14902
445,4119
446,16500
447,8226
448,10000
449,18235
450,19386
451,18889
452,9091
453,9091
454,11474
455,8108
456,10750
457,14324
458,8837
459,8837
460,8667
461,11000
462,11579
464,17500
465,9905
466,2857
468,6200
469,7037
470,4812
471,6190
472,13333
473,8824
475,11310
476,11789
477,13077
478,6462
479,3608
480,9091
481,16667
482,7538
483,22127
484,6536
485,8182
486,4787
487,5814
488,3750
489,12401
491,7158
492,11429
493,3165
494,9091
495,9091
496,15556
497,7692
498,10000
500,5442
501,5238
502,13667
503,3846
504,16316
505,18834
506,11896
507,10750
508,11250
510,12500
511,11006
512,12778
513,9677
515,7984
516,5468
518,19024
519,14114
520,10081
521,6500
522,8187
524,15000
525,18811
526,12667
527,16975
528,9091
529,6024
530,16667
531,11256
532,12857
533,21840
534,6308
535,3640
536,3412
537,7846
539,16348
541,2903
542,9953
543,7216
544,17549
545,6000
546,8125
547,7344
548,25197
549,3203
550,15385
552,6000
553,17000
554,8097
555,8889
556,4762
557,3067
558,3917
559,10000
560,10439
561,5828
562,19231
563,3968
564,10000
565,9167
567,14804
568,6435
569,14828
570,13000
571,11111
572,10714
573,16871
574,18000
575,16011
576,17500
577,3884
578,3647
579,13808
580,2501
581,16875
582,11333
583,5438
584,8500
585,14415
587,24017
588,21053
589,10870
590,15845
591,20000
593,3634
594,15969
595,7978
596,3846
597,11960
598,5000
599,11857
600,16454
601,12200
602,20154
603,4200
604,8900
606,11111
607,3667
608,3274
609,3846
610,11941
611,9870
613,4000
614,11368
615,6800
616,5128
617,6838
618,12444
